Taxon	LFC_LR	qval_LR	LFC_W	qval_W	LFC_WR	qval_WR
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873	-0.7051432891437551	3.18864544713e-36	-0.0065444217356723	1.0	3.259029553229474	4.526432090042667e-09
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	-0.7051432891437551	3.18864544713e-36	1.2190596614551406	0.3722060931921591	2.940437315485964	5.127021849809973e-121
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter	1.2766094096823712	1.0	2.376670897542029	0.4706233334384208	1.0976286766408194	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Pelethenecus	-0.3026013703849413	1.0	-0.0851327035523852	1.0	1.587099553401257	0.2516337054887295
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia	-0.9525955530903925	1.0	-2.128391270830503	0.0006454807952487149	-2.5052498251351927	2.411308632881053e-11
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E	-2.0618320866694	0.0306388408772887	-1.4622542450555955	0.5356660281556451	-0.1963219096672548	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	-0.7051432891437551	3.18864544713e-36	2.6175612440997043	1.3308782934845808e-05	0.003461338402811	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173	-0.705143289143755	3.18864544713e-36	1.872800039900117	0.0242578986811475	2.3529376359245866	0.000692080827231347
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides	-0.7051432891437558	3.18864544713e-36	2.889569749652745	2.379269247619006e-06	2.269213558639342	0.00026068311978681886
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	-1.3395400160479831	0.0244344877363998	1.213695626311553	1.0	0.8601768304253342	1.0
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__	-0.7051432891437548	3.18864544713e-36	-0.0065444217356715	1.0	3.4432776392244904	1.3082997670027288e-241
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263	-0.7051432891437543	3.18864544713e-36	0.9593945452363364	1.0	3.4014445563849782	4.995258522737793e-67
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485	-0.7051432891437552	3.18864544713e-36	0.5853319677488324	1.0	3.550325714937218	7.734506468525752e-75
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus	1.1415696570041705	1.0	-0.0065444217356719	1.0	0.0034613384028109	1.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	-0.671359304110964	1.0	-0.8606514529933857	1.0	-1.4918794599594942	0.0497370073374019
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	-0.7789230590675815	1.0	-1.349157949517234	0.6251070680524906	-1.339152189378751	0.4798109098353161
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	-0.7051432891437549	3.18864544713e-36	0.4350330716012303	1.0	1.457906951136298	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas	-0.5191442546169205	1.0	0.6115234251968733	1.0	-0.897521145526249	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	-1.1566984267990603	1.0	0.0413473980132286	1.0	-0.2853174730827282	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium	-0.5483468321371079	1.0	0.0915977197316988	1.0	-1.1016654504076748	0.5026191514864687
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter	0.1475577940986018	1.0	0.0792149123357374	1.0	1.6018549051325384	0.6432097420848621
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-314;g__CAG-314	-0.2512657758882257	1.0	-0.2305143553891783	1.0	2.404391164585228	1.801343680380968e-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella	-0.7051432891437548	3.18864544713e-36	0.4885607072357178	1.0	1.918306294849352	0.0008104996413100798
